
 
 Printing node data
 
 Index 	 Node.x 	 Node.y 
 237 	 0.000000 	 0.346154 
 238 	 0.000000 	 0.384615 
 239 	 0.000000 	 0.423077 
 240 	 0.000000 	 0.461538 
 241 	 0.000000 	 0.500000 
 242 	 0.000000 	 0.538462 
 243 	 0.000000 	 0.576923 
 244 	 0.000000 	 0.615385 
 245 	 0.000000 	 0.653846 
 246 	 0.000000 	 0.692308 
 247 	 0.000000 	 0.730769 
 248 	 0.000000 	 0.769231 
 249 	 0.000000 	 0.807692 
 250 	 0.000000 	 0.846154 
 251 	 0.000000 	 0.884615 
 252 	 0.000000 	 0.923077 
 253 	 0.000000 	 0.961538 
 254 	 0.000000 	 1.000000 
 255 	 0.037500 	 1.000000 
 256 	 0.075000 	 1.000000 
 257 	 0.112500 	 1.000000 
 258 	 0.150000 	 1.000000 
 259 	 0.187500 	 1.000000 
 260 	 0.225000 	 1.000000 
 261 	 0.262500 	 1.000000 
 262 	 0.300000 	 1.000000 
 263 	 1.700000 	 1.000000 
 264 	 1.738983 	 1.000000 
 265 	 1.777966 	 1.000000 
 266 	 1.816949 	 1.000000 
 267 	 1.855932 	 1.000000 
 268 	 1.894915 	 1.000000 
 269 	 1.933898 	 1.000000 
 270 	 1.972881 	 1.000000 
 271 	 2.011864 	 1.000000 
 272 	 2.050848 	 1.000000 
 273 	 2.089831 	 1.000000 
 274 	 2.128814 	 1.000000 
 275 	 2.167797 	 1.000000 
 276 	 2.206780 	 1.000000 
 277 	 2.245763 	 1.000000 
 278 	 2.284746 	 1.000000 
 279 	 2.323729 	 1.000000 
 280 	 2.362712 	 1.000000 
 281 	 2.401695 	 1.000000 
 282 	 2.440678 	 1.000000 
 283 	 2.479661 	 1.000000 
 284 	 2.518644 	 1.000000 
 285 	 2.557627 	 1.000000 
 286 	 2.596610 	 1.000000 
 287 	 2.635593 	 1.000000 
 288 	 2.674576 	 1.000000 
 289 	 2.713559 	 1.000000 
 290 	 2.752542 	 1.000000 
 291 	 2.791525 	 1.000000 
 292 	 2.830509 	 1.000000 
 293 	 2.869492 	 1.000000 
 294 	 2.908475 	 1.000000 
 295 	 2.947458 	 1.000000 
 296 	 2.986441 	 1.000000 
 297 	 3.025424 	 1.000000 
 298 	 3.064407 	 1.000000 
 299 	 3.103390 	 1.000000 
 300 	 3.142373 	 1.000000 
 301 	 3.181356 	 1.000000 
 302 	 3.220339 	 1.000000 
 303 	 3.259322 	 1.000000 
 304 	 3.298305 	 1.000000 
 305 	 3.337288 	 1.000000 
 306 	 3.376271 	 1.000000 
 307 	 3.415254 	 1.000000 
 308 	 3.454237 	 1.000000 
 309 	 3.493220 	 1.000000 
 310 	 3.532203 	 1.000000 
 311 	 3.571186 	 1.000000 
 312 	 3.610169 	 1.000000 
 313 	 3.649153 	 1.000000 
 314 	 3.688136 	 1.000000 
 315 	 3.727119 	 1.000000 
 316 	 3.766102 	 1.000000 
 317 	 3.805085 	 1.000000 
 318 	 3.844068 	 1.000000 
 319 	 3.883051 	 1.000000 
 320 	 3.922034 	 1.000000 
 321 	 3.961017 	 1.000000 
 322 	 4.000000 	 1.000000 
 323 	 4.000000 	 0.961538 
 324 	 4.000000 	 0.923077 
 325 	 4.000000 	 0.884615 
 326 	 4.000000 	 0.846154 
 327 	 4.000000 	 0.807692 
 328 	 4.000000 	 0.769231 
 329 	 4.000000 	 0.730769 
 330 	 4.000000 	 0.692308 
 331 	 4.000000 	 0.653846 
 332 	 4.000000 	 0.615385 
 333 	 4.000000 	 0.576923 
 334 	 4.000000 	 0.538462 
 335 	 4.000000 	 0.500000 
 336 	 4.000000 	 0.461538 
 337 	 4.000000 	 0.423077 
 338 	 4.000000 	 0.384615 
 339 	 4.000000 	 0.346154 
 340 	 4.000000 	 0.307692 
 341 	 4.000000 	 0.269231 
 342 	 4.000000 	 0.230769 
 343 	 4.000000 	 0.192308 
 344 	 4.000000 	 0.153846 
 345 	 4.000000 	 0.115385 
 346 	 4.000000 	 0.076923 
 347 	 4.000000 	 0.038462 
 348 	 4.000000 	 0.000000 
 349 	 3.962500 	 0.000000 
 350 	 3.925000 	 0.000000 
 351 	 3.887500 	 0.000000 
 352 	 3.850000 	 0.000000 
 353 	 3.812500 	 0.000000 
 354 	 3.775000 	 0.000000 
 355 	 3.737500 	 0.000000 
 356 	 3.700000 	 0.000000 
 357 	 2.300000 	 0.000000 
 358 	 1.698980 	 0.963369 
 359 	 1.696082 	 0.926838 
 360 	 1.691313 	 0.890505 
 361 	 1.684667 	 0.854467 
 362 	 1.676131 	 0.818830 
 363 	 1.665696 	 0.783702 
 364 	 1.653442 	 0.749166 
 365 	 1.639420 	 0.715310 
 366 	 1.623665 	 0.682224 
 367 	 1.606201 	 0.650007 
 368 	 1.587048 	 0.618766 
 369 	 1.566270 	 0.588581 
 370 	 1.543958 	 0.559511 
 371 	 1.520175 	 0.531632 
 372 	 1.494974 	 0.505028 
 373 	 1.468395 	 0.479800 
 374 	 1.440507 	 0.456027 
 375 	 1.411419 	 0.433739 
 376 	 1.381219 	 0.412983 
 377 	 1.349984 	 0.393818 
 378 	 1.317789 	 0.376315 
 379 	 1.284707 	 0.360552 
 380 	 1.250841 	 0.346555 
 381 	 1.216295 	 0.334328 
 382 	 1.181164 	 0.323903 
 383 	 1.145538 	 0.315319 
 384 	 1.109509 	 0.308630 
 385 	 1.073174 	 0.303872 
 386 	 1.036640 	 0.301009 
 387 	 1.000008 	 0.300036 
 388 	 0.963375 	 0.300977 
 389 	 0.926841 	 0.303838 
 390 	 0.890513 	 0.308643 
 391 	 0.854487 	 0.315352 
 392 	 0.818856 	 0.323915 
 393 	 0.783715 	 0.334307 
