
 
 Printing node data
 
 Index 	 Node.x 	 Node.y 	 Node.z 
 191 	 27.901143 	 -1.354310 	 25.400001 
 192 	 27.909428 	 1.150638 	 25.400001 
 193 	 27.700970 	 3.646909 	 25.400001 
 194 	 27.047160 	 6.932429 	 25.400001 
 195 	 26.026043 	 10.122954 	 25.400001 
 196 	 24.639881 	 13.172650 	 25.400001 
 197 	 22.885086 	 16.026211 	 25.400001 
 198 	 20.799886 	 18.648051 	 25.400001 
 199 	 18.421380 	 21.007039 	 25.400001 
 200 	 15.772501 	 23.057781 	 25.400001 
 201 	 12.897724 	 24.777596 	 25.400001 
 202 	 9.841511 	 26.149341 	 25.400001 
 203 	 6.640004 	 27.135471 	 25.400001 
 204 	 0.000000 	 2.540000 	 10.160000 
 205 	 -0.227467 	 2.529167 	 10.160000 
 206 	 -0.453141 	 2.498697 	 10.160000 
 207 	 -0.675261 	 2.448486 	 10.160000 
 208 	 -0.891883 	 2.378253 	 10.160000 
 209 	 -1.101253 	 2.288682 	 10.160000 
 210 	 -1.301836 	 2.180867 	 10.160000 
 211 	 -1.491963 	 2.055528 	 10.160000 
 212 	 -1.669976 	 1.913509 	 10.160000 
 213 	 -1.834693 	 1.756263 	 10.160000 
 214 	 -1.984741 	 1.584963 	 10.160000 
 215 	 -2.118611 	 1.400741 	 10.160000 
 216 	 -2.235543 	 1.205334 	 10.160000 
 217 	 -2.334654 	 1.000308 	 10.160000 
 218 	 -2.414750 	 0.787136 	 10.160000 
 219 	 -2.475499 	 0.567665 	 10.160000 
 220 	 -2.516563 	 0.343672 	 10.160000 
 221 	 -2.537158 	 0.116883 	 10.160000 
 222 	 -2.537338 	 -0.110841 	 10.160000 
 223 	 -2.517356 	 -0.337685 	 10.160000 
 224 	 -2.476980 	 -0.561802 	 10.160000 
 225 	 -2.416592 	 -0.781373 	 10.160000 
 226 	 -2.336993 	 -0.994733 	 10.160000 
 227 	 -2.238558 	 -1.200081 	 10.160000 
 228 	 -2.121959 	 -1.395689 	 10.160000 
 229 	 -1.988472 	 -1.580190 	 10.160000 
 230 	 -1.839036 	 -1.752021 	 10.160000 
 231 	 -1.674630 	 -1.909592 	 10.160000 
 232 	 -1.496860 	 -2.051916 	 10.160000 
 233 	 -1.307127 	 -2.177849 	 10.160000 
 234 	 -1.106744 	 -2.286038 	 10.160000 
 235 	 -0.897519 	 -2.375946 	 10.160000 
 236 	 -0.681142 	 -2.446934 	 10.160000 
 237 	 -0.459217 	 -2.497991 	 10.160000 
 238 	 -0.233614 	 -2.529007 	 10.160000 
 239 	 -0.006152 	 -2.539916 	 10.160000 
 240 	 0.221364 	 -2.530193 	 10.160000 
 241 	 0.447088 	 -2.500089 	 10.160000 
 242 	 0.669262 	 -2.450117 	 10.160000 
 243 	 0.886026 	 -2.380323 	 10.160000 
 244 	 1.095619 	 -2.291276 	 10.160000 
 245 	 1.296495 	 -2.184006 	 10.160000 
 246 	 1.486941 	 -2.059155 	 10.160000 
 247 	 1.665310 	 -1.917583 	 10.160000 
 248 	 1.830415 	 -1.760743 	 10.160000 
 249 	 1.980862 	 -1.589794 	 10.160000 
 250 	 2.115180 	 -1.405900 	 10.160000 
 251 	 2.232614 	 -1.210793 	 10.160000 
 252 	 2.332241 	 -1.006018 	 10.160000 
 253 	 2.412858 	 -0.793041 	 10.160000 
 254 	 2.474158 	 -0.573723 	 10.160000 
 255 	 2.515779 	 -0.349834 	 10.160000 
 256 	 2.536860 	 -0.123088 	 10.160000 
 257 	 2.537574 	 0.104633 	 10.160000 
 258 	 2.518270 	 0.331536 	 10.160000 
 259 	 2.459754 	 0.630403 	 10.160000 
 260 	 2.366965 	 0.920463 	 10.160000 
 261 	 2.240095 	 1.197318 	 10.160000 
 262 	 2.080194 	 1.456502 	 10.160000 
 263 	 1.891071 	 1.695201 	 10.160000 
 264 	 1.674805 	 1.909615 	 10.160000 
 265 	 1.433962 	 2.096000 	 10.160000 
